TA,Market.Rent.Area,Property.Type,Bedrooms,2013.Q3
Auckland,Mt Eden,Total,4,778.125
Auckland,Mt Eden,Total,5+,NA
Auckland,Mt Eden,Total,Total,440.2325581395
Auckland,Mt Roskill/Wesley,Apartment,1,NA
Auckland,Mt Roskill/Wesley,Apartment,2,NA
Auckland,Mt Roskill/Wesley,Apartment,3,NA
Auckland,Mt Roskill/Wesley,Apartment,4,NA
Auckland,Mt Roskill/Wesley,Apartment,5+,NA
Auckland,Mt Roskill/Wesley,Apartment,Total,NA
Auckland,Mt Roskill/Wesley,Flat,1,NA
Auckland,Mt Roskill/Wesley,Flat,2,337.8571428571
Auckland,Mt Roskill/Wesley,Flat,3,NA
Auckland,Mt Roskill/Wesley,Flat,4,NA
Auckland,Mt Roskill/Wesley,Flat,5+,NA
Auckland,Mt Roskill/Wesley,Flat,Total,335.9090909091
Auckland,Mt Roskill/Wesley,House,1,NA
Auckland,Mt Roskill/Wesley,House,2,NA
Auckland,Mt Roskill/Wesley,House,3,473.6363636364
Auckland,Mt Roskill/Wesley,House,4,521
Auckland,Mt Roskill/Wesley,House,5+,NA
Auckland,Mt Roskill/Wesley,House,Total,480.652173913
Auckland,Mt Roskill/Wesley,Total,1,NA
Auckland,Mt Roskill/Wesley,Total,2,362.0833333333
Auckland,Mt Roskill/Wesley,Total,3,468.3333333333
Auckland,Mt Roskill/Wesley,Total,4,521
Auckland,Mt Roskill/Wesley,Total,5+,NA
Auckland,Mt Roskill/Wesley,Total,Total,433.9473684211
Auckland,Mt Wellington,Apartment,1,NA
Auckland,Mt Wellington,Apartment,2,NA
Auckland,Mt Wellington,Apartment,3,NA
Auckland,Mt Wellington,Apartment,4,NA
Auckland,Mt Wellington,Apartment,5+,NA
Auckland,Mt Wellington,Apartment,Total,364.1428571429
Auckland,Mt Wellington,Flat,1,NA
Auckland,Mt Wellington,Flat,2,337.7777777778
Auckland,Mt Wellington,Flat,3,NA
Auckland,Mt Wellington,Flat,4,NA
Auckland,Mt Wellington,Flat,5+,NA
Auckland,Mt Wellington,Flat,Total,336.7857142857
Auckland,Mt Wellington,House,1,NA
Auckland,Mt Wellington,House,2,NA
Auckland,Mt Wellington,House,3,463.6363636364
Auckland,Mt Wellington,House,4,NA
Auckland,Mt Wellington,House,5+,NA
Auckland,Mt Wellington,House,Total,427.1428571429
Auckland,Mt Wellington,Total,1,306.6666666667
Auckland,Mt Wellington,Total,2,348.9333333333
Auckland,Mt Wellington,Total,3,431
Auckland,Mt Wellington,Total,4,553
Auckland,Mt Wellington,Total,5+,NA
Auckland,Mt Wellington,Total,Total,393.3111111111
Auckland,Mt Wellington North,Apartment,1,NA
Auckland,Mt Wellington North,Apartment,2,NA
Auckland,Mt Wellington North,Apartment,3,NA
Auckland,Mt Wellington North,Apartment,4,NA
Auckland,Mt Wellington North,Apartment,5+,NA
Auckland,Mt Wellington North,Apartment,Total,NA
Auckland,Mt Wellington North,Flat,1,272.1428571429
Auckland,Mt Wellington North,Flat,2,356.8181818182
Auckland,Mt Wellington North,Flat,3,NA
Auckland,Mt Wellington North,Flat,4,NA
Auckland,Mt Wellington North,Flat,5+,NA
Auckland,Mt Wellington North,Flat,Total,332.2727272727
Auckland,Mt Wellington North,House,1,NA
Auckland,Mt Wellington North,House,2,NA
Auckland,Mt Wellington North,House,3,470.3846153846
Auckland,Mt Wellington North,House,4,NA
Auckland,Mt Wellington North,House,5+,NA
Auckland,Mt Wellington North,House,Total,449.7368421053
Auckland,Mt Wellington North,Total,1,280.5555555556
Auckland,Mt Wellington North,Total,2,362.8571428571
Auckland,Mt Wellington North,Total,3,458.3333333333
Auckland,Mt Wellington North,Total,4,NA
Auckland,Mt Wellington North,Total,5+,NA
Auckland,Mt Wellington North,Total,Total,385.4545454545
Auckland,Newmarket,Apartment,1,330
Auckland,Newmarket,Apartment,2,519.6875
Auckland,Newmarket,Apartment,3,NA
Auckland,Newmarket,Apartment,4,NA
Auckland,Newmarket,Apartment,5+,NA
Auckland,Newmarket,Apartment,Total,513.8333333333
Auckland,Newmarket,Flat,1,341.5384615385
Auckland,Newmarket,Flat,2,NA
Auckland,Newmarket,Flat,3,NA
Auckland,Newmarket,Flat,4,NA
Auckland,Newmarket,Flat,5+,NA
Auckland,Newmarket,Flat,Total,383
Auckland,Newmarket,House,1,NA
Auckland,Newmarket,House,2,NA
